ngo_description,category,urgency_level
Requires immediate response: pls infant formula shortage reported at relief centre,food,Critical
"Requires immediate response: blood bank in Katraj running critically low on supplies, needs attention soon",medical,Critical
Old woman in Uran collapsed due to lack of food and support the whole neighborhood is complaining,elderly support,Critical
Escalating: power restoration delayed beyond 13 days in Kandhar is creating inconvenience,disaster relief,High
There is power failure during disaster affecting families this is a major safety risk. hazard attention is needed.,disaster relief,High
Needs attention: hygiene awareness sessions cancelled in Uran without notice,hygiene,Medium
Pls relief trucks not reaching Kagal due to damaged roads,food,High
Immediate action needed: patients with chronic illness running out of medication,medical,High
Senior citizen with hearing impairment in Risod getting no support,elderly support,High
There is no baby food available at Morshi relief distribution point the whole neighborhood is complaining,food,Low
Typhoid cases rising in Dharavi with no treatment available,medical,High
Old age home in Pathri damaged and residents displaced,elderly support,Low
Follow up needed on children in Taloja unable to access online classes due to no electricity and it has been like this for days,education,Medium
Immediate action needed: emergency helpline not working for residents of Murbad,disaster relief,High
"Alert: earthquake tremors felt in Daund causing structural damage, needs attention soon",disaster relief,High
"SOS: infant formula shortage reported at relief centre, needs attention soon",food,Critical
Escalating: night soil collected manually and dumped near Balapur camp,hygiene,High
Food distribution camp in Islampur has run out of supplies,food,Medium
Dirty wat3r stagnation not urg3nt but should b3 fix3d,medical,Low
Critical alert: pls eye infection spreading rapidly in Chalisgaon due to unhygienic water,medical,Critical
Boats and rescue equipment not prepositioned near Risod before cyclone pls fix,disaster relief,High
Mentally ill individuals left without care after disaster the whole neighborhood is complaining,medical,Low
books and school materials lost to flooding in nilanga,education,High
"Follow up needed on medical camp in Garkheda closed for 14 days with no alternative, needs attention soon",medical,Medium
Dangerous situation: shortage of medicines at Andheri West PHC causing distress,medical,Critical
Food stock expired at distribution point in Malad,food,Critical
Critical alert: disaster response team yet to reach Sangli City after 9 days,disaster relief,Critical
Bad sm3ll is cr3ating inconv3ni3nc3,hygiene,Medium
Needs attention: child vaccination drive cancelled due to floods the whole neighborhood is complaining,medical,Medium
Overflowing dustbin is creating inconvenience,hygiene,Medium
Urgent: stagnant water causing health hazard which is causing a lot of trouble. fire attention is needed.,medical,Critical
Please fix snake bite cases increasing with no antivenom available,medical,Medium
Blood bank in Khamgaon running critically low on supplies,medical,Critical
"Issu3 with dirty wat3r stagnation, n33ds att3ntion soon",medical,Medium
Please escalate: families in Khed sleeping in the open after losing homes,shelter,High
Old age pensioners in Amgaon not receiving their monthly allowance,elderly support,Medium
SOS: flood waters receded but homes too damaged to return to in Latur Camp,shelter,Critical
"CRITICAL: sewage overflow contaminating water supply in Indapur, needs attention soon",hygiene,Critical
Please fix abandoned elderly person in Pune Camp needs immediate care,elderly support,Medium
No soap or hygiene kits provided at shelter camp in Sinnar pls fix,hygiene,Medium
Mental health crisis cases going unaddressed in Bhokar camp pls fix,medical,High
Just informing power outage leaving disaster-affected families in dark pls fix,disaster relief,Low
"Relief coordinator in Pandharpur unreachable, no one managing distribution",disaster relief,High
Dangerous situation: flies and pests due to open waste dump near shelter in shirur,hygiene,Critical
Pls no toilets available at relief camp for 150 families,hygiene,Critical
Ongoing issue with damaged road blocking access to shelter which is causing a lot of trouble. life-threatening attention is needed.,shelter,Critical
"Dangerous situation: newborn in distress at Sangli City camp, no paediatric support",medical,Critical
Eye infection spreading rapidly in Katol due to unhygienic water,medical,Critical
Serious issue: no soap or hygiene kits provided at shelter camp in Parli pls fix,hygiene,High
"Dra1nag3 p1p3s ch0k3d, caus1ng wat3rl0gg1ng 1n Amga0n sh3lt3r z0n3",hygiene,High
"Need to address water pipeline burst, families without clean water and it has been like this for days. leak attention is needed.",food,High
Reporting that garbage pile near community housing and it has been like this for days. emergency attention is needed.,hygiene,Critical
Escalating: flood relief funds not disbursed to victims in Shirpur is creating inconvenience,disaster relief,High
Emergency: helpline operators in Aheri not responding despite multiple calls,disaster relief,Critical
Food vouchers not accepted at local shops near Balapur,food,Low
Pregnant woman unable to reach hospital due to floods pls fix,medical,Medium
"Flood warning ignored in Shahapur, families now stranded",disaster relief,Critical
Dangerous situation: garbage uncollected in Kalyan for 1 days,hygiene,Critical
Life threatening: outbreak of fever cases reported in Akot with no medical team,medical,Critical
Ongoing issue with downed power line endangering disaster survivors and it has been like this for days. emergency attention is needed.,disaster relief,Critical
"Urgent: no lighting in residential area, safety risk and it has been like this for days. emergency attention is needed.",shelter,Critical
Immediate action needed: children in Amgaon unable to access online classes due to no electricity,education,High
"Issue with water leak leaving families without supplyage in pipe, needs attention soon",food,Medium
"Issue with mosquito problem, needs attention soon",medical,Medium
"No chalk, blackboard or stationery at makeshift school in Arvi camp pls fix",education,Medium
Need to address power outage leaving disaster-affected families in dark this is a major safety risk. danger attention is needed.,disaster relief,High
Please fix construction of relief houses stalled in Kalyan for 8 days,shelter,Medium
Just informin garbage pilin up,hygiene,Low
Kindly address n0 f00d pack3ts d1str1but3d t0 V1ta fl00d surv1v0rs,food,Medium
For attention: stagnant water breeding mosquitoes in Ballarpur lanes,hygiene,Low
Porta-potties overflowing at disaster relief site in Ratnagiri City is creating inconvenience,hygiene,Critical
"Complaint regarding garbage overflow, causing inconvenience",hygiene,Medium
Just informin water leak leaving families without supplyage in pipe,food,Low
"Issue with overflowing dustbin, needs attention soon",hygiene,Medium
Serious issue: dropout rate rising among migrant children in Sengaon,education,High
"Follow up needed on examination hall destroyed, students unable to appear for board exams",education,Medium
Children in Yavatmal City unable to access online classes due to no electricity,education,Critical
Food stock expired at distribution point in Latur Camp is creating inconvenience,food,High
High priority: night soil collected manually and dumped near Pusad camp,hygiene,High
"N0 chalk, blackb0ard 0r stat10n3ry at mak3sh1ft sch00l 1n D0mb1vl1 camp",education,Low
"Complaint regarding unhygienic conditions causing illness risk, causing inconvenience",hygiene,Medium
No water supply is creating inconvenience,food,Medium
Urgent: damaged road infrastructure near community the whole neighborhood is complaining. hazard attention is needed.,shelter,Critical
Emergency: senior citizens in Garkheda not transported to hospital despite requests,elderly support,Critical
Fire broke out in Jalgaon City and fire brigade took too long to arrive,disaster relief,Medium
Contaminated water causing illness stagnation is creating inconvenience,medical,Medium
Outbreak of fever cases reported in Wai with no medical team pls fix,medical,Low
"Issue reported: unhygienic conditions causing illness risk, moderate urgency",hygiene,Medium
CRITICAL: fire broke out in Pachora and fire brigade took too long to arrive,disaster relief,Critical
"Just informing muddy water, clean water needed urgently pls fix",food,Low
Flies and pests due to open waste dump near shelter in Bhiwandi,hygiene,High
Need to address inadequate lighting in emergency relief camp and it has been like this for days. danger attention is needed.,disaster relief,High
"Critical alert: drainage pipes choked, causing waterlogging in Yavatmal City shelter zone the whole neighborhood is complaining",hygiene,Critical
Ongoing issue with blood bank in Panvel running critically low on supplies,medical,Low
Issue with senior citizen with hearing impairment in Malegaon getting no support,elderly support,Medium
Shortage of medicines at Solapur East PHC causing distress and it has been like this for days,medical,Medium
Elderly residents of Khed left alone after family evacuation,elderly support,Medium
Ch1ldr3n traumat1z3d by fl00d n33d psych0s0c1al supp0rt 1n P3n,education,Medium
No search and rescue teams deployed to Nanded City after landslide is creating inconvenience,disaster relief,Critical
Small inconvenience due to garbage overflow,hygiene,Low
"Reporting that mosquito-borne illness risk, medical support needed the whole neighborhood is complaining. emergency attention is needed.",medical,Critical
Children defecating in open near water source in Akola Rural the whole neighborhood is complaining,hygiene,Critical
Serious issue: food stock expired at distribution point in Arvi is creating inconvenience,food,High
Issue with no handwashing stations at food distribution point,hygiene,Medium
"Critical alert: school uniform and shoes lost in flooding, children embarrassed to attend is creating inconvenience",education,Critical
Requires immediate response: girls pulled from school to help at home after disaster is creating inconvenience,education,Critical
Dirty drainage blocking road and causing stench in Sangli City,hygiene,Critical
CRITICAL: sanitation workers not deployed in Andheri West after floods,hygiene,Critical
"Urgent: no lighting in residential area, safety risk and it has been like this for days. leak attention is needed.",shelter,Critical
Water leak leaving families without supplyage in pipe is creating inconvenience pls fix,food,Medium
Kindly address eld3rly fl00d surv1v0r n33ds m0b1l1ty ass1stanc3 1n M1raj,elderly support,Medium
Immediate action needed: abandoned elderly person in Satara City needs immediate care,elderly support,High
"Reporting that elderly man in Ulhasnagar with no relatives or support after disaster, needs attention soon",elderly support,Low
"Issue with garbage piling up, needs attention soon",hygiene,Medium
"There is disease outbreak risk, medical aid needed which is causing a lot of trouble. leak attention is needed.",medical,High
Emergency: old age pensioners in Parli not receiving their monthly allowance,elderly support,Critical
"There is dirty water, clean water distribution needed which is causing a lot of trouble. hazard attention is needed.",food,High
"School uniform and shoes lost in flooding, children embarrassed to attend",education,High
Patients with chronic illness running out of medication the whole neighborhood is complaining,medical,Critical
Relief trucks not reaching Beed City due to damaged roads and it has been like this for days,food,High
Residents of Sindkhede living under flyover after home destroyed,shelter,High
"Urgent: animal bite cases, medical attention needed which is causing a lot of trouble. leak attention is needed.",medical,Critical
Please escalate: relief workers in Chembur not provided with protective gear or support,disaster relief,High
Kindly address relief camp in Ghatkopar has no bathing facilities for 75 families the whole neighborhood is complaining,hygiene,Medium
Senior citizens in camp not receiving food or medicine,elderly support,Critical
Pls girls pulled from school to help at home after disaster,education,Medium
High priority: burn injury victim in Baramati needs urgent referral to hospital and it has been like this for days,medical,High
"SOS: toilets at Kalamnuri camp not cleaned for 3 days, needs attention soon",hygiene,Critical
"Issue with flood warning ignored in Shirur, families now stranded is creating inconvenience",disaster relief,Medium
Pls sanitation volunteers refused entry to Nilanga without reason,hygiene,Critical
"Critical alert: relief coordinator in Pathri unreachable, no one managing distribution",disaster relief,Critical
Escalating: pls differently-abled student in Pusad unable to access ramp or support,education,High
"Alert: drainage pipes choked, causing waterlogging in Walwa shelter zone pls fix",hygiene,High
"Newborn in distress at Solapur East camp, no paediatric support, needs attention soon",medical,Low
"Anganwadi centre in Pusad closed, children going without meals is creating inconvenience",food,Medium
Garbage uncollected in Ratnagiri City for 4 days is creating inconvenience,hygiene,Medium
Needs attention: relief camp in Akot overcrowded with 75 families pls fix,shelter,Medium
Critical alert: senior residents facing cold nights without blankets in Vasai pls fix,elderly support,Critical
CRITICAL: m1d-day m3al st0pp3d at sch00l aff3ct1ng att3ndanc3 1n Ch1plun,education,Critical
Escalating: pls eye infection spreading rapidly in Ausa due to unhygienic water,medical,High
Children falling ill due to poor sanitation in Basmath camp,hygiene,Critical
Requires immediate response: dropout rate rising among migrant children in Osmanabad,education,Critical
High priority: dead animals decomposing near Mul relief camp causing disease risk and it has been like this for days,hygiene,High
Need to address damaged road blocking access to shelter which is causing a lot of trouble. emergency attention is needed.,shelter,Critical
"Urgent: school uniform and shoes lost in flooding, children embarrassed to attend",education,High
Displaced families not allotted any relief camp in Nilanga,shelter,Medium
"Government relief camp in Dombivli shut prematurely, families still displaced, needs attention soon",disaster relief,Critical
Immediate action needed: dead animals decomposing near Taloda relief camp causing disease risk,hygiene,High
Breastfeeding mothers in camp without nutritional supplements is creating inconvenience,food,High
Life threatening: ch1ldr3n n0t 3nr0ll3d du3 t0 lack 0f d0cum3nts 1n W0rl1,education,Critical
Just informing power outage leaving disaster-affected families in dark pls fix,disaster relief,Low
FYI: drought-affected farmers need emergency food aid,food,Low
Diabetic patients not receiving appropriate diet support,food,Medium
temporary shelter disrupting schooling for 15 kids,education,Critical
Reporting that sewage leak affecting residential area and it has been like this for days. life-threatening attention is needed.,hygiene,Critical
Critical alert: women and children unsafe in open camp at night in Sindkhede,shelter,Critical
Please look into food stock expired at distribution point in dharavi,food,Medium
"SOS: tent allocation not done fairly in Latur Camp camp, some families left out, needs attention soon",shelter,Critical
Pls senior citizens unable to stand in relief line in Murtajapur,elderly support,High
Serious issue: mid-day meal stopped at school affecting attendance in Arvi is creating inconvenience,education,High
Kindly address wounded persons from Sengaon not shifted to hospital for 10 days pls fix,medical,Medium
Immediate action needed: relief materials piling up in warehouse not reaching Daund,disaster relief,High
"Serious issue: no waste bins in Karad camp, garbage strewn everywhere",hygiene,High
Elderly man with no identification unable to access relief in Miraj and it has been like this for days,elderly support,High
No soap or hygiene kits provided at shelter camp in Sangli City,hygiene,Critical
Elderly residents of Amgaon left alone after family evacuation is creating inconvenience,elderly support,Medium
"Follow up needed on senior citizen with hearing impairment in Beed City getting no support, needs attention soon",elderly support,Medium
Alert: elderly couple in Badnera surviving without any government aid is creating inconvenience,elderly support,High
Typhoid cases rising in Parli with no treatment available,medical,High
"Escalating: examination hall destroyed, students unable to appear for board exams",education,High
"Critical alert: oxygen cylinder shortage reported at health post in Kalyan, needs attention soon",medical,Critical
Dangerous situation: no soap or hygiene kits provided at shelter camp in Kalamnuri and it has been like this for days,hygiene,Critical
Exam postponement causing stress among students in Mangalwedha the whole neighborhood is complaining,education,Critical
Critical alert: elderly flood survivor needs mobility assistance in Mangalwedha,elderly support,Critical
"Communication tower damaged in Daund, no mobile network for 9 days",disaster relief,Medium
CRITICAL: food distribution camp in osmanabad has run out of supplies,food,Critical
No baby food available at Uran relief distribution point,food,High
Medical camp in Dharur closed for 12 days with no alternative,medical,Critical
No school bus route restored after disaster in Chandrapur City is creating inconvenience,education,Critical
Children in Deoli relief camp have missed 9 days of school is creating inconvenience,education,Medium
Needs attention: n0 sp3c1al car3 pr0v1d3d t0 3ld3rly at r3l13f camp,elderly support,Medium
"FYI: government school in Garkheda being used as shelter, no classes held",education,Low
Needs attention: pls skin disease spreading among relief camp residents,medical,Medium
High priority: cracked walls in housing block posing danger to residents,shelter,High
Requires immediate response: ration shop in Pusad not opening despite government orders the whole neighborhood is complaining,food,Critical
Need to address bleaching powder not distributed to Shahapur for disinfection,hygiene,Low
Dangerous situation: garbage uncollected in Parbhani City for 5 days is creating inconvenience,hygiene,Critical
"There is animal bite cases, medical attention needed",medical,Low
Just informing garbage piling up,hygiene,Low
"Minor issue: loose wires, can be addressed later",disaster relief,Low
Dangerous situation: disaster map not updated for Parbhani City causing misdirected aid,disaster relief,Critical
"No sandbags provided to protect remaining structures in Satara City, needs attention soon",shelter,High
Snake bite cases increasing with no antivenom available,medical,Medium
"Dangerous situation: school building in Kurkheda damaged by flood, students displaced pls fix",education,Critical
rental support not disbursed to 15 families in malad,shelter,High
Critical alert: sanitation workers not deployed in Pathri after floods,hygiene,Critical
no physiotherapy or rehabilitation support for elderly in kondhwa camp,elderly support,Medium
"Serious issue: senior residents facing cold nights without blankets in Kagal, needs attention soon",elderly support,High
Patients with chronic illness running out of medication pls fix,medical,High
Issue with children traumatized by flood need psychosocial support in Mul is creating inconvenience,education,Medium
Blood bank in Nashik Road running critically low on supplies is creating inconvenience,medical,Low
Rental support not disbursed to 10 families in Wanowrie is creating inconvenience,shelter,Critical
Pls children going to school hungry in Wanowrie due to poverty,food,Low
Books and school materials lost to flooding in Vikhroli is creating inconvenience,education,Critical
Life threatening: no special care provided to elderly at relief camp,elderly support,Critical
Books and school materials lost to flooding in Jalgaon City,education,Low
"Dangerous situation: construction debris blocking evacuation route in Amravati City, needs attention soon",shelter,Critical
Flood relief funds not disbursed to victims in Khanapur is creating inconvenience,disaster relief,Critical
"Follow up needed on elderly man with no identification unable to access relief in Udgir, needs attention soon",elderly support,Medium
Heavy winds damaged temporary shelters of 100 families in Kandivali pls fix,shelter,Medium
Relief workers in Buldhana not provided with protective gear or support,disaster relief,Critical
SOS: community kitchen shut down due to lack of funds pls fix,food,Critical
sewage overflow contaminating water supply in nagothane,hygiene,High
Garbage uncollected in Dhule City for 4 days,hygiene,Medium
Need to address unhygienic conditions causing illness risk which is causing a lot of trouble. urgent attention is needed.,hygiene,Critical
"Need to address medical camp closed, patients need care the whole neighborhood is complaining. immediate attention is needed.",medical,Critical
Please look into emergency food and water yet to reach 150 households in Malkapur,disaster relief,Medium
Critical alert: no baby food available at Ausa relief distribution point,food,Critical
Critical alert: skin disease spreading among relief camp residents,medical,Critical
"Need to address flood waters receded but homes too damaged to return to in Solapur East, needs attention soon",shelter,Low
"Life threatening: outbreak of fever cases reported in Sangli City with no medical team, needs attention soon",medical,Critical
Critical alert: flies and pests due to open waste dump near shelter in Karjat,hygiene,Critical
"Pls issue with mosquito problem, needs attention soon",medical,Medium
"Issue with diabetic patients not receiving appropriate diet support, needs attention soon",food,Medium
Pls rat infestation in Shirur due to uncleared garbage,hygiene,Critical
Life threatening: children going to school hungry in Washim due to poverty,food,Critical
Alert: no grief counselling for elderly who lost family members in Shahada pls fix,elderly support,High
R3scu3 b0ats n0t d3pl0y3d 1n Than3 C1ty d3sp1t3 r1s1ng wat3r l3v3ls,disaster relief,Critical
"Government relief camp in Sengaon shut prematurely, families still displaced pls fix",disaster relief,Critical
"Mid-day meal stopped at school affecting attendance in Baramati, needs attention soon",education,Critical
High priority: bleaching powder not distributed to Jalgaon City for disinfection is creating inconvenience,hygiene,High
"Please look into children not enrolled due to lack of documents in Morshi, needs attention soon",education,Medium
"Women and children unsafe in open camp at night in Chamorshi, needs attention soon",shelter,Critical
Dangerous situation: earthquake tremors felt in Khopoli causing structural damage the whole neighborhood is complaining,disaster relief,Critical
Please look into children not enrolled due to lack of documents in Roha,education,Medium
Alert: women and children unsafe in open camp at night in Shirpur pls fix,shelter,High
Please fix flood victims surviving on contaminated water with no food,food,Medium
Elderly couple in Daund surviving without any government aid,elderly support,Low
Exam postponement causing stress among students in Balapur is creating inconvenience,education,High
"Dangerous situation: dementia patient in Tuljapur separated from family during evacuation, needs attention soon",elderly support,Critical
Chemical factory spill near Chikalthana causing panic and illness,disaster relief,Critical
Garbage uncollected in Wani for 14 days is creating inconvenience,hygiene,Critical
Urgent: cracked infrastructure near housing colony causing serious safety risk in the area,shelter,Critical
Alert: porta-potties overflowing at disaster relief site in bhusawal,hygiene,High
No toilets available at relief camp for 150 families and it has been like this for days,hygiene,Medium
"Reporting streetlight not working, low priority concern",disaster relief,Low
Patients with chronic illness running out of medication,medical,Critical
Malnourished children spotted in Aheri relief camp pls fix,food,High
Life threatening: d1rty dra1nag3 bl0ck1ng r0ad and caus1ng st3nch 1n Ulhasnagar,hygiene,Critical
Reporting that girls pulled from school to help at home after disaster the whole neighborhood is complaining,education,Low
Life threatening: women and children unsafe in open camp at night in Pusad the whole neighborhood is complaining,shelter,Critical
"Anganwad1 c3ntr3 1n Kam0th3 cl0s3d, ch1ldr3n g01ng w1th0ut m3als",food,Low
Dangerous situation: no toilets available at relief camp for 50 families the whole neighborhood is complaining,hygiene,Critical
Residents of Nilanga living under flyover after home destroyed,shelter,Medium
"Needs attention: elderly woman in Mangrulpir surviving only on biscuits, no proper meals is creating inconvenience",elderly support,Medium
Life threatening: pls outbreak of fever cases reported in Pandharpur with no medical team,medical,Critical
Serious issue: relief workers in Goregaon not provided with protective gear or support pls fix,disaster relief,High
Issue with san1tat10n w0rk3rs n0t d3pl0y3d 1n V1ta aft3r fl00ds,hygiene,Medium
Need to address stagnant water causing health hazard the whole neighborhood is complaining. hazard attention is needed.,medical,High
Critical alert: oxygen cylinder shortage reported at health post in Ausa and it has been like this for days,medical,Critical
"CRITICAL: anganwadi worker missing after flood, pre-school closed in Akkalkot",education,Critical
Please fix toilets at Gadchiroli camp not cleaned for 2 days,hygiene,Medium
Books and school materials lost to flooding in Wanowrie is creating inconvenience,education,Critical
"SOS: skin disease spreading among relief camp residents, needs attention soon",medical,Critical
Escalating: outbreak of fever cases reported in Goregaon with no medical team,medical,High
Outbreak of fever cases reported in Paranda with no medical team the whole neighborhood is complaining,medical,Low
"Complaint regarding unsanitary conditions, causing inconvenience",medical,Medium
Typhoid cases rising in Balapur with no treatment available pls fix,medical,High
"Dangerous situation: stagnant water breeding mosquitoes in Garkheda lanes, needs attention soon",hygiene,Critical
rescue boats not deployed in badnera despite rising water levels,disaster relief,Critical
Minor concern: senior citizens in risod not transported to hospital despite requests,elderly support,Low
Escalating: library books destroyed by flood in Malad school pls fix,education,High
Dangerous situation: pls menstrual hygiene products not available in Wani camp,hygiene,Critical
Critical alert: malnourished children spotted in Jogeshwari relief camp and it has been like this for days,food,Critical
"Follow up needed on anganwadi worker missing after flood, pre-school closed in Nanded City",education,Medium
Need to address damaged road blocking access to shelter which is causing a lot of trouble. danger attention is needed.,shelter,High
"Critical alert: abandoned elderly person in Khanapur needs immediate care, needs attention soon",elderly support,Critical
Typhoid cases rising in Goregaon with no treatment available,medical,Medium
Just informing mid-day meal stopped at school affecting attendance in Pandharpur and it has been like this for days,education,Low
Pls no grief counselling for elderly who lost family members in Panvel pls fix,elderly support,Medium
Alert: sewage overflow contaminating water supply in Hingna the whole neighborhood is complaining,hygiene,High
Cyclone shelter in Bhiwandi not opened despite warning pls fix,disaster relief,High
CRITICAL: stagnant water breeding mosquitoes in Indapur lanes pls fix,hygiene,Critical
"CRITICAL: relief trucks not reaching Rajapur due to damaged roads, needs attention soon",food,Critical
Urgent: damaged road infrastructure near community the whole neighborhood is complaining. emergency attention is needed.,shelter,Critical
No search and rescue teams deployed to Alibaug after landslide pls fix,disaster relief,High
Skin disease spreading among relief camp residents,medical,Critical
"Requires immediate response: elderly woman in Kalamb surviving only on biscuits, no proper meals and it has been like this for days",elderly support,Critical
Women and children unsafe in open camp at night in Nalasopara and it has been like this for days,shelter,Medium
Need to address relief camp in Pachora has no bathing facilities for 100 families,hygiene,Low
Issue with mid-day meal stopped at school affecting attendance in Akot,education,Medium
Flood victims surviving on contaminated water with no food,food,Critical
Alert: wheelchair-bound senior unable to access relief services in Satara City,elderly support,High
Bedridden elderly person in Ambejogai with no caregiver pls fix,elderly support,Medium
Huge damaged road blocking access to shelters not urgent but should be fixed,shelter,Critical
Alert: homeless individuals with no access to relief shelters in kolhapur city,shelter,High
Follow up needed on no ambulance available in Hadapsar for emergency cases the whole neighborhood is complaining,medical,Medium
Immediate action needed: ch1ldr3n 1n G0r3ga0n unabl3 t0 acc3ss 0nl1n3 class3s du3 t0 n0 3l3ctr1c1ty,education,High
"Life threatening: elderly flood survivor needs mobility assistance in Sangli City, needs attention soon",elderly support,Critical
Please look into flash fl00d 1n V1khr0l1 caught r3s1d3nts 0ff guard w1th n0 pr10r al3rt,disaster relief,Medium
Serious issue: b00ks and sch00l mat3r1als l0st t0 fl00d1ng 1n Malad,education,High
"Drainage pipes choked, causing waterlogging in Akola City shelter zone",hygiene,High
FYI: elderly man in Khanapur with no relatives or support after disaster the whole neighborhood is complaining,elderly support,Low
Escalating: girls pulled from school to help at home after disaster the whole neighborhood is complaining,education,High
Flood relief funds not disbursed to victims in Andheri West pls fix,disaster relief,Medium
N0 ambulanc3 ava1labl3 1n B1bw3wad1 f0r 3m3rg3ncy cas3s,medical,Critical
Contaminated water causing illness stagnation not urgent but should be fixed,medical,Critical
Elderly woman in Kondhwa not aware of any available relief schemes the whole neighborhood is complaining,elderly support,Low
Pls rat infestation in Balapur due to uncleared garbage,hygiene,Critical
Ongoing issue with power failure during disaster affecting families and it has been like this for days. urgent attention is needed.,disaster relief,Critical
"Pls issue with sparking wire posing fire risk to shelters, needs attention soon",disaster relief,Medium
CRITICAL: patients with chronic illness running out of medication,medical,Critical
Dirty wat3r stagnation is cr3ating inconv3ni3nc3,medical,Medium
Special needs children without educational support the whole neighborhood is complaining,education,High
Serious issue: chemical factory spill near Nanded City causing panic and illness and it has been like this for days,disaster relief,High
Pls pls elderly residents of Kurla left alone after family evacuation,elderly support,Medium
"Pls issue with muddy water, clean water needed urgently, needs attention soon",food,Medium
Overflowin dustbin not urgent but should be fixed,hygiene,Critical
Ongoing issue with boats and rescue equipment not prepositioned near Tasgaon before cyclone,disaster relief,Low
Helpline operators in Kagal not responding despite multiple calls,disaster relief,High
Urgent: pls group home for elderly in Purna has no generator or backup power,elderly support,High
"Follow up needed on disaster map not updated for Pandharpur causing misdirected aid, needs attention soon",disaster relief,Medium
Please look into toilets at Sengaon camp not cleaned for 1 days,hygiene,Medium
"There is no lighting in residential area, safety risk and it has been like this for days. leak attention is needed.",shelter,High
"tent allocation not done fairly in taloja camp, some families left out",shelter,Critical
Disaster map not updated for Gondia causing misdirected aid,disaster relief,Medium
pregnant women not receiving nutritional support at relief camp,food,Critical
Immediate action needed: bedridden elderly person in Ozar with no caregiver,elderly support,High
rental support not disbursed to 50 families in wai,shelter,High
Follow up needed on no insulin available for diabetic patients in Shahada shelter,medical,Medium
For attention: snake bite cases increasing with no antivenom available,medical,Low
"FYI: volunteer teachers needed urgently at relief camp school, needs attention soon",education,Low
Life threatening: group of 20 elderly survivors in Ratnagiri City need urgent shelter is creating inconvenience,elderly support,Critical
Dead animals decomposing near Latur Camp relief camp causing disease risk,hygiene,Critical
Emergency food and water yet to reach 150 households in Dhule City pls fix,disaster relief,Critical
Dangerous situation: mental health crisis cases going unaddressed in Igatpuri camp is creating inconvenience,medical,Critical
"SOS: no waste bins in Rajapur camp, garbage strewn everywhere, needs attention soon",hygiene,Critical
"Please look into shelter camp flooded again after second wave of rain in Baramati, needs attention soon",shelter,Medium
"Just informing landslide destroyed 100 homes in Ghatkopar, urgent shelter needed",shelter,Low
Fire broke out in temporary camp destroying belongings in Paranda is creating inconvenience,shelter,High
"Ongoing issue with contaminated water, safe drinking water needed this is a major safety risk. fire attention is needed.",food,Critical
Just informing mosquito probl3m,medical,Low
HIV patients in Ballarpur unable to access antiretroviral drugs is creating inconvenience,medical,High
Pls just informing no lighting in disaster-affected area,disaster relief,Low
Requires immediate response: patients with chronic illness running out of medication,medical,Critical
Food distribution camp in Thane City has run out of supplies,food,Low
Dry ration kits not delivered to 25 registered families,food,Critical
Disaster response team yet to reach Borivali after 13 days is creating inconvenience,disaster relief,High
"There is an issue with loose wires, needs to be fixed soon",disaster relief,Medium
Pls relief materials piling up in warehouse not reaching Vita,disaster relief,High
Just informin mosquito problem,medical,Low
Temporary shelter disrupting schooling for 75 kids is creating inconvenience,education,Critical
Emergency: boats and rescue equipment not prepositioned near Butibori before cyclone,disaster relief,Critical
Pls damaged bridge cutting off Ardhapur from emergency relief,shelter,Medium
Requires immediate response: hyg13n3 awar3n3ss s3ss10ns canc3ll3d 1n Murtajapur w1th0ut n0t1c3,hygiene,Critical
food stock expired at distribution point in akola city,food,Medium
Urgent: water leak leaving families without supply which is causing a lot of trouble. life-threatening attention is needed.,food,Critical
Displaced families not allotted any relief camp in Sengaon is creating inconvenience,shelter,Low
Life threatening: no soap or hygiene kits provided at shelter camp in Deoli,hygiene,Critical
Food distribution camp in Wai has run out of supplies,food,Critical
"Issu3 with dirty wat3r stagnation, n33ds att3ntion soon",medical,Medium
SOS: stagnant water breeding mosquitoes in Ambernath lanes,hygiene,Critical
"No digital access for students during recovery period in Katol, needs attention soon",education,High
No insulin available for diabetic patients in Nilanga shelter,medical,High
"Ongoing issue with no chalk, blackboard or stationery at makeshift school in Pusad camp, needs attention soon",education,Low
No insulin available for diabetic patients in Alibaug shelter pls fix,medical,High
Sanitation workers not deployed in Khopoli after floods,hygiene,High
Earthquake tremors felt in Shahapur causing structural damage and it has been like this for days,disaster relief,Critical
Differently-abled student in Chalisgaon unable to access ramp or support is creating inconvenience,education,Medium
Women and children unsafe in open camp at night in Amravati City,shelter,Medium
Kindly address diarrhea outbreak in Hadapsar affecting over 15 families and it has been like this for days,medical,Medium
There is overflowing waste near shelter camp which is causing a lot of trouble. leak attention is needed.,hygiene,High
Toilets at Yavatmal City camp not cleaned for 9 days,hygiene,High
CRITICAL: dialysis patients unable to access treatment centres,medical,Critical
"Critical alert: examination hall destroyed, students unable to appear for board exams",education,Critical
injured flood survivors not getting wound care,medical,High
No digital access for students during recovery period in Kolhapur City,education,Medium
Typhoid cases rising in Walwa with no treatment available and it has been like this for days,medical,Critical
"Children defecating in open near water source in Chiplun, needs attention soon",hygiene,High
SOS: elderly flood survivor found wandering alone near Akkalkuwa,elderly support,Critical
Injur3d fl00d surv1v0rs n0t g3tt1ng w0und car3,medical,Medium
Urgent: garbage uncollected in Karjat for 1 days pls fix,hygiene,High
